NEW_IMLOCI,NEW_NAME,Area_km,NPS Watershed Ownership Percent,Prot_area_pct (PAD),Watershed_Percent_Impervious_NLCD2019,roads_km_km2,,AvgPredEC,F50Pct_PL,,1992 (lbs salt / km2),1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,"NLCD06 Developed, open (21)","NLCD06 Developed, low (22)","NLCD06 Developed, medium (23)","NLCD06 Developed, high (24)",NLCD06 Deciduous forest (41),NLCD06 Evergreen forest (42),NLCD06 Mixed forest (43),NLCD06 Pasture (81),NLCD06 Crops (82),,"NLCD19 Developed, open (21)","NLCD19 Developed, low (22)","NLCD19 Developed, medium (23)","NLCD19 Developed, high (24)",NLCD19 Deciduous forest (41),NLCD19 Evergreen forest (42),NLCD19 Mixed forest (43),NLCD19 Pasture (81),NLCD19 Crops (82),,"Change Developed, open (21)","Change Developed, low (22)","Change Developed, medium (23)","Change Developed, high (24)",Change Deciduous forest (41),Change Evergreen forest (42),Change Mixed forest (43),Change Pasture (81),Change Crops (82)
NCRN_ANTI_ANCR,Antietam Creek,725.042,4.38,20.868,5.753594046,3.177,,99.12154696,197.818221,,16846.57688,17588.1616,29500.63545,22371.9579,25959.42503,23662.39745,8870.102962,19349.48532,20423.08197,12045.99556,9117.218321,12667.00366,12388.50346,14851.23617,9628.207967,16175.0769,15271.35174,13857.11384,24494.15467,18603.04593,11584.84755,20384.9369,34952.00287,66449.27692,53896.30114,52870.88469,63067.99832,54158.91592,,0.079,0.067,0.026,0.009,0.236,0.007,0.069,0.211,0.279,,0.082,0.069,0.03,0.011,0.239,0.007,0.069,0.2,0.28,,0.003,0.002,0.004,0.002,0.003,0,0,-0.011,0.001
NCRN_ANTI_MUSP,Mumma Spring,0.219,100.205,100,0.983263598,3.795,,252.0524862,365.1503247,,22870.6528,19072.81055,35076.29565,27397.0107,28388.27342,30882.8982,8769.369053,20813.45219,19783.2059,7972.152658,2995.322272,5687.70247,4462.075789,6763.452615,7872.685534,5667.261503,4784.201385,5925.492843,20208.92843,11920.15426,8484.753094,13188.25694,33477.8816,78818.27742,73024.5673,66439.59597,80030.8823,67294.31031,,0.109,0,0,0,0,0,0,0.276,0.615,,0.109,0,0.004,0,0,0,0,0.272,0.615,,0,0,0.004,0,0,0,0,-0.004,0
NCRN_ANTI_NECS,Newcomer Spring,1.705,86.477,93.49,3.046315789,2.99,,105.8640884,206.6092447,,25151.28809,20974.73047,38574.06445,30129.00977,31219.12012,30944.4707,8786.853271,20854.94922,19822.64941,7988.047363,3001.294189,5699.042236,4470.972046,6776.937256,7888.381836,6370.932617,5378.228027,6661.227051,22718.1543,13400.21094,9538.255859,14825.7666,37634.63672,88604.6875,76792.73828,69867.9707,84160.58594,70766.79102,,0.056,0.069,0.004,0,0,0,0.01,0.514,0.346,,0.054,0.07,0.005,0,0,0,0.015,0.509,0.346,,-0.002,0.001,0.001,0,0,0,0.005,-0.005,0
NCRN_ANTI_SHCK,Sharpsburg Creek,3.307,24.404,51.981,8.89198036,6.167,,99.12154696,197.818221,,51808.41211,43205.24219,79457.60352,62061.88086,64307.36914,64033.58398,18182.69043,43155.27832,41019.13086,16529.7168,6210.596924,11793.06372,9251.810303,14023.55859,16323.47803,12741.86523,10756.45605,13322.45459,45436.30957,26800.42383,19076.51025,29651.53418,75269.27344,177209.3789,162627.7461,147962.8242,178231,149866.3047,,0.197,0.142,0.036,0.002,0.008,0.001,0.022,0.439,0.151,,0.192,0.141,0.04,0.006,0.008,0.001,0.029,0.422,0.16,,-0.005,-0.001,0.004,0.004,0,0,0.007,-0.017,0.009
NCRN_CATO_BGHC,Big Hunting Creek,22.306,25.427,57.536,0.437933818,1.962,,80.26740331,172.0330875,,14538.11967,12123.95712,22296.84499,17415.37624,18045.48921,18379.00586,5218.820091,12386.48544,11773.36594,4744.381292,1782.57383,3384.861017,2655.467019,4025.060547,4685.186424,3475.05411,2933.578902,3633.396507,12391.72044,7309.205966,5202.684925,8086.78165,20527.98349,48329.82955,42773.30773,38916.23391,46877.17509,39416.87549,,0.065,0.006,0.001,0,0.813,0.001,0.022,0.059,0.005,,0.065,0.006,0.001,0,0.82,0.001,0.022,0.057,0.009,,0,0,0,0,0.007,0,0,-0.002,0.004
NCRN_CATO_BLBZ,Blue Blazes Creek,2.187,99.992,100,0.087835052,1.311,,80.26740331,172.0330875,,14108.95996,11766.0625,21638.65039,16901.28125,17512.79297,17358.72461,4929.105469,11698.86914,11119.78613,4481.004395,1683.617065,3196.955811,2508.052979,3801.615723,4425.095703,3185.466309,2689.114014,3330.613525,11359.07715,6700.105469,4769.12793,7412.883301,18817.31836,44302.34375,41729.65234,37966.68945,45733.38672,38455.11523,,0.046,0,0,0,0.953,0,0,0,0,,0.046,0.001,0,0,0.953,0,0,0,0,,0,0.001,0,0,0,0,0,0,0
NCRN_CATO_OWCK,Owens Creek,7.24,63.961,64.461,0.718839142,2.616,,101.8370166,201.3833163,,16124.79353,13447.15193,24730.29715,19316.07059,20014.9534,19838.87305,5633.357352,13370.3591,12708.53878,5121.233398,1924.165876,3653.724714,2866.394008,4344.776088,5057.336565,3868.066127,3265.352679,4044.316267,13793.1649,8135.842355,5791.083705,9001.35798,22849.60045,53795.70313,45150.07924,41078.6808,49481.9841,41607.13979,,0.071,0.009,0.002,0,0.763,0.001,0.055,0.096,0.001,,0.071,0.01,0.003,0,0.76,0.001,0.053,0.097,0.003,,0,0.001,0.001,0,-0.003,0,-0.002,0.001,0.002
NCRN_CHOH_CABR,Cabin Branch,4.846,1.499,33.45,0.538447251,1.285,,67.06740331,152.6950499,,6772.3,5647.709375,10386.55078,8112.614063,8406.139844,8332.1875,2365.970703,5615.457422,5337.497266,2150.882227,808.1361816,1534.53877,1203.86543,1824.775391,2124.045898,1529.023828,1290.774805,1598.694531,5452.357422,3216.050781,2289.181445,3558.183984,9032.313281,21265.12656,21274.67754,19356.23811,23315.86785,19605.24818,,0.043,0.005,0,0,0.229,0.016,0.122,0.372,0.174,,0.05,0.006,0.001,0,0.23,0.016,0.12,0.366,0.175,,0.007,0.001,0.001,0,0.001,0,-0.002,-0.006,0.001
NCRN_CHOH_GRSR,Green Spring Run,9.067,0.062,12.408,1.500297974,3.383,,160.2486188,271.465637,,28838.4859,24049.64111,44229.05066,34545.9436,35795.86597,38924.8363,11052.92206,26233.29675,24934.77338,10048.10977,3775.307259,7168.786087,5624.004868,8524.662567,9922.74115,7167.299103,6050.506546,7493.880356,25557.9234,15075.23755,10730.53754,16678.98727,42338.96643,99680.27441,83726.5105,76176.49097,91759.61401,77156.46899,,0.075,0.029,0.002,0,0.73,0.005,0.05,0.089,0,,0.074,0.03,0.002,0,0.729,0.005,0.05,0.087,0,,-0.001,0.001,0,0,-0.001,0,0,-0.002,0
NCRN_CHOH_ISCR,Israel Creek,33.687,9.167,17.051,1.180144308,2.472,,56.16077348,135.6897311,,14454.46614,12054.19473,22168.54676,17315.16636,17941.65412,17809.24594,5057.033726,12002.49725,11408.38495,4597.302787,1727.313,3279.928373,2573.146007,3900.28132,4539.942976,3549.519559,2996.441323,3711.255022,12657.25731,7465.831864,5314.17101,8260.069866,20967.86897,49365.46897,45333.01771,41245.12317,49682.47521,41775.72435,,0.062,0.019,0.003,0,0.509,0.006,0.059,0.28,0.046,,0.062,0.02,0.003,0,0.51,0.005,0.06,0.274,0.05,,0,0.001,0,0,0.001,-0.001,0.001,-0.006,0.004
